order_id,user_id,order_date,status,gross_amount,credit,currency,channel
O01221,U0147,2026-02-21,delivered,376.81,0.0,INR,ios
O01420,U0337,12-12-2025,delivered,2408.03,0.0,INR,web
O00169,U0206,2025-03-27,shipped,395.66,39.57,INR,ios
O01807,U0132,03-06-2026,delivered,1713.72,0.0,INR,web
O00274,U0204,2025-09-27,returned,971.81,0.0,INR,android
O01161,U0122,2026-07-05,cancelled,755.07,0.0,INR,android
O00356,U0184,31-07-2025,delivered,2470.4,0.0,INR,ios
O01403,U0070,2026-05-06,delivered,6.88,1.03,USD,ios
O00867,U0298,2026-07-02,placed,6.7,0.0,USD,web
O01308,U0114,2026/04/17,shipped,1973.69,394.74,INR,ios
O01054,U0025,2025/08/20,shipped,1175.96,0.0,INR,ios
O01835,U0347,02-05-2026,delivered,61.54,0.0,USD,android
O01061,U0184,2025-03-18,shipped,1974.68,197.47,INR,web
O01225,U0062,2026-05-27,placed,20.76,0.0,USD,ios
O00996,U0113,2026-05-27,delivered,840.06,0.0,INR,ios
O00573,U0386,2026-06-27,delivered,2453.66,0.0,INR,web
O00656,U0352,2025-10-26,placed,1768.33,0.0,INR,web
O01891,U0296,2025-12-30,returned,2262.7,226.27,INR,web
O01749,U0396,2026-01-03,delivered,5422.72,813.41,INR,ios
O01251,U0344,2026/02/26,returned,11.61,0.0,USD,android
O01249,U0389,21-07-2026,delivered,393.5,78.7,INR,web
O01981,U0364,2026-01-06,returned,2630.26,0.0,INR,web
O01615,U0050,30-03-2026,shipped,10.79,0.0,USD,android
O00413,U0029,2026-06-30,delivered,9.49,1.42,USD,web
O01463,U0110,2026/06/08,returned,29.36,1.47,USD,web
O01656,U0158,2026-07-22,cancelled,893.17,0.0,INR,web
O00832,U0127,2025-09-15,delivered,534.62,0.0,INR,web
O00330,U0083,08-06-2025,shipped,383.05,0.0,INR,android
O01919,U0044,18-06-2026,returned,397.41,0.0,INR,ios
O01068,U0041,2025-11-20,delivered,711.63,0.0,INR,web
O02069,U0064,2026-04-05,cancelled,1925.34,385.07,INR,ios
O00964,U0053,30-10-2025,returned,3599.91,539.99,INR,web
O01222,U0332,2026-06-01,shipped,13.5,2.02,USD,android
O00995,U0223,2026/06/12,shipped,4.99,0.0,USD,android
O00465,U0117,2026-04-08,delivered,3671.16,0.0,INR,android
O01761,U0103,2025-10-29,delivered,521.24,0.0,INR,android
O01447,U0178,2026-05-25,delivered,2342.66,234.27,INR,web
O02081,U0235,2026-05-08,returned,4.99,0.5,USD,web
